Date,Close,Open,High,Low,Vol.
"Dec 24, 2020","23,736.50","23,253.20","23,783.70","22,737.30",104.59K
"Dec 23, 2020","23,257.90","23,820.80","24,063.70","22,694.70",178.47K
"Dec 22, 2020","23,823.20","22,730.40","23,825.40","22,388.60",130.75K
"Dec 21, 2020","22,728.50","23,474.10","24,101.90","22,015.50",154.69K
"Dec 20, 2020","23,474.90","23,843.60","24,280.90","23,098.90",114.09K
"Dec 19, 2020","23,844.00","23,127.60","24,107.10","22,797.00",133.88K
"Dec 18, 2020","23,127.90","22,823.30","23,272.80","22,361.50",131.80K
"Dec 17, 2020","22,825.40","21,352.30","23,738.00","21,243.10",310.74K
"Dec 16, 2020","21,352.20","19,434.70","21,525.30","19,299.70",199.81K
"Dec 15, 2020","19,434.90","19,273.90","19,556.30","19,076.20",98.39K
"Dec 14, 2020","19,273.80","19,176.40","19,346.50","19,007.00",67.11K
"Dec 13, 2020","19,176.80","18,808.10","19,403.60","18,716.80",82.45K
"Dec 12, 2020","18,808.90","18,026.70","18,936.20","18,025.10",71.37K
"Dec 11, 2020","18,023.60","18,250.50","18,288.30","17,600.10",111.53K
"Dec 10, 2020","18,247.20","18,546.10","18,551.80","17,926.80",85.31K
"Dec 09, 2020","18,546.00","18,322.40","18,637.90","17,658.80",129.72K
"Dec 08, 2020","18,326.60","19,170.80","19,288.60","18,229.20",101.41K
"Dec 07, 2020","19,170.70","19,368.40","19,424.60","18,908.80",61.98K
"Dec 06, 2020","19,379.90","19,146.00","19,417.10","18,873.00",54.56K
"Dec 05, 2020","19,146.50","18,657.50","19,172.70","18,507.10",59.44K
"Dec 04, 2020","18,658.10","19,431.10","19,529.50","18,610.80",110.63K
"Dec 03, 2020","19,433.30","19,219.80","19,596.60","18,883.70",99.97K
"Dec 02, 2020","19,218.80","18,767.90","19,335.50","18,346.70",91.92K
"Dec 01, 2020","18,770.70","19,697.80","19,897.40","18,257.00",208.72K
"Nov 30, 2020","19,698.10","18,186.00","19,831.20","18,186.00",185.59K
"Nov 29, 2020","18,185.50","17,729.70","18,336.30","17,530.40",79.12K
"Nov 28, 2020","17,730.70","17,142.60","17,874.40","16,874.40",95.20K
"Nov 27, 2020","17,127.10","17,160.90","17,450.30","16,481.60",138.80K
"Nov 26, 2020","17,162.00","18,721.90","18,894.90","16,235.20",312.07K
"Nov 25, 2020","18,723.00","19,151.50","19,486.70","18,527.70",146.12K
"Nov 24, 2020","19,152.60","18,394.60","19,416.60","18,074.80",180.79K
"Nov 23, 2020","18,379.60","18,428.10","18,756.80","18,016.00",127.35K
"Nov 22, 2020","18,412.90","18,689.30","18,751.50","17,644.60",121.76K
"Nov 21, 2020","18,687.20","18,673.80","18,966.00","18,397.50",108.91K
"Nov 20, 2020","18,675.20","17,805.50","18,811.00","17,758.40",134.42K
"Nov 19, 2020","17,803.50","17,775.10","18,166.00","17,380.10",135.94K
"Nov 18, 2020","17,774.60","17,662.30","18,466.10","17,258.90",233.43K
"Nov 17, 2020","17,662.30","16,715.80","17,845.40","16,562.00",175.87K
"Nov 16, 2020","16,715.80","15,954.10","16,880.70","15,870.70",118.09K
"Nov 15, 2020","15,953.00","16,074.70","16,158.10","15,782.30",58.43K
"Nov 14, 2020","16,071.00","16,323.10","16,328.20","15,717.70",83.64K
"Nov 13, 2020","16,324.20","16,293.00","16,474.10","15,973.40",113.75K
"Nov 12, 2020","16,294.70","15,695.80","16,342.70","15,483.50",165.54K
"Nov 11, 2020","15,695.80","15,303.10","15,953.90","15,281.00",119.07K
"Nov 10, 2020","15,303.60","15,328.00","15,465.30","15,096.50",93.36K
"Nov 09, 2020","15,327.20","15,483.30","15,819.60","14,816.90",165.04K
"Nov 08, 2020","15,483.70","14,826.60","15,648.30","14,720.70",94.99K
"Nov 07, 2020","14,828.40","15,578.20","15,754.40","14,385.10",160.73K
"Nov 06, 2020","15,577.90","15,593.90","15,955.20","15,223.50",186.13K
"Nov 05, 2020","15,587.10","14,145.60","15,739.90","14,099.70",227.49K
"Nov 04, 2020","14,145.60","14,023.00","14,238.80","13,544.40",140.80K
"Nov 03, 2020","14,019.90","13,560.50","14,054.00","13,294.60",108.17K
"Nov 02, 2020","13,561.40","13,759.70","13,828.40","13,214.20",97.76K
"Nov 01, 2020","13,759.40","13,795.50","13,889.50","13,628.70",51.71K
"Oct 31, 2020","13,797.30","13,560.20","14,065.40","13,441.70",102.75K
"Oct 30, 2020","13,559.90","13,457.00","13,667.90","13,134.50",108.77K
"Oct 29, 2020","13,457.20","13,278.30","13,640.00","12,982.90",111.23K
"Oct 28, 2020","13,278.90","13,658.30","13,851.70","12,907.60",144.18K
"Oct 27, 2020","13,657.80","13,061.50","13,782.30","13,050.30",128.64K
"Oct 26, 2020","13,061.60","13,033.00","13,229.70","12,792.40",89.47K
"Oct 25, 2020","13,032.20","13,117.00","13,345.30","12,900.40",59.73K
"Oct 24, 2020","13,117.20","12,933.60","13,161.50","12,876.40",51.20K
"Oct 23, 2020","12,934.10","12,972.70","13,025.50","12,738.90",73.94K
"Oct 22, 2020","12,974.60","12,805.50","13,183.90","12,698.20",113.31K
"Oct 21, 2020","12,808.70","11,913.60","13,213.50","11,894.60",197.72K
"Oct 20, 2020","11,913.50","11,753.90","12,029.40","11,685.70",94.59K
"Oct 19, 2020","11,753.40","11,507.10","11,823.30","11,413.90",73.04K
"Oct 18, 2020","11,506.90","11,362.10","11,506.90","11,349.80",31.51K
"Oct 17, 2020","11,362.10","11,321.80","11,402.70","11,274.40",29.86K
"Oct 16, 2020","11,322.00","11,503.20","11,542.20","11,224.60",71.42K
"Oct 15, 2020","11,503.00","11,421.40","11,590.90","11,276.70",70.84K
"Oct 14, 2020","11,420.40","11,424.40","11,541.00","11,293.50",59.12K
"Oct 13, 2020","11,423.80","11,533.50","11,558.00","11,315.90",64.67K
"Oct 12, 2020","11,533.90","11,370.80","11,715.90","11,227.40",84.02K
"Oct 11, 2020","11,371.00","11,295.60","11,439.40","11,277.60",41.06K
"Oct 10, 2020","11,298.40","11,053.50","11,475.00","11,053.10",65.81K
"Oct 09, 2020","11,054.20","10,923.50","11,103.00","10,836.90",70.95K
"Oct 08, 2020","10,924.10","10,670.70","10,948.60","10,549.60",79.78K
"Oct 07, 2020","10,670.90","10,601.00","10,680.10","10,553.30",49.27K
"Oct 06, 2020","10,602.60","10,790.20","10,800.30","10,530.80",69.07K
"Oct 05, 2020","10,789.50","10,672.50","10,789.60","10,623.40",48.86K
"Oct 04, 2020","10,672.90","10,544.40","10,693.30","10,520.80",31.40K
"Oct 03, 2020","10,544.20","10,572.20","10,597.80","10,501.20",29.10K
"Oct 02, 2020","10,572.30","10,619.60","10,662.90","10,387.60",77.94K
"Oct 01, 2020","10,620.50","10,776.60","10,913.70","10,462.70",95.33K
"Sep 30, 2020","10,776.10","10,843.40","10,847.70","10,667.60",55.55K
"Sep 29, 2020","10,840.90","10,694.30","10,858.40","10,642.40",59.64K
"Sep 28, 2020","10,693.20","10,776.40","10,946.60","10,685.20",72.29K
"Sep 27, 2020","10,776.20","10,727.90","10,799.20","10,602.70",40.92K
"Sep 26, 2020","10,727.90","10,688.90","10,793.30","10,650.20",37.85K
"Sep 25, 2020","10,688.80","10,739.90","10,756.00","10,558.90",71.43K
"Sep 24, 2020","10,739.40","10,238.10","10,787.80","10,201.00",82.95K
"Sep 23, 2020","10,237.30","10,531.50","10,535.40","10,146.60",74.95K
"Sep 22, 2020","10,531.50","10,419.40","10,570.70","10,361.70",63.52K
"Sep 21, 2020","10,416.80","10,919.90","10,987.20","10,328.50",109.85K
"Sep 20, 2020","10,921.50","11,081.60","11,081.60","10,772.70",53.39K
"Sep 19, 2020","11,081.80","10,933.00","11,177.10","10,890.70",51.63K
"Sep 18, 2020","10,933.00","10,941.30","11,029.70","10,818.70",63.48K
"Sep 17, 2020","10,941.30","10,950.10","11,039.30","10,755.20",77.22K
"Sep 16, 2020","10,949.50","10,785.20","11,093.30","10,669.20",94.94K
"Sep 15, 2020","10,785.30","10,675.20","10,931.80","10,627.80",91.70K
"Sep 14, 2020","10,675.30","10,332.70","10,744.30","10,264.50",96.64K
"Sep 13, 2020","10,326.00","10,441.70","10,579.60","10,219.40",66.12K
"Sep 12, 2020","10,441.90","10,390.20","10,476.80","10,275.90",48.49K
"Sep 11, 2020","10,390.20","10,339.80","10,398.80","10,212.60",62.28K
"Sep 10, 2020","10,339.70","10,224.30","10,480.30","10,219.20",88.01K
"Sep 09, 2020","10,224.60","10,126.80","10,343.30","9,984.60",71.37K
"Sep 08, 2020","10,126.60","10,376.90","10,434.40","9,877.10",113.90K
"Sep 07, 2020","10,376.90","10,296.40","10,400.90","9,887.00",12.40M
"Sep 06, 2020","10,296.40","10,092.20","10,337.70","10,004.70",12.12M
"Sep 05, 2020","10,092.20","10,472.30","10,558.70","9,897.80",14.72M
"Sep 04, 2020","10,472.50","10,168.70","10,614.20","9,960.30",12.50M
"Sep 03, 2020","10,168.80","11,413.20","11,442.70","10,009.50",9.65M
"Sep 02, 2020","11,413.30","11,914.40","11,947.50","11,244.90",20.26M
"Sep 01, 2020","11,914.90","11,644.20","12,045.90","11,544.60",580.69K
"Aug 31, 2020","11,644.20","11,701.10","11,760.20","11,563.80",496.14K
"Aug 30, 2020","11,702.00","11,468.10","11,704.20","11,462.60",409.36K
"Aug 29, 2020","11,468.10","11,527.80","11,576.80","11,433.50",389.85K
"Aug 28, 2020","11,527.40","11,327.50","11,539.00","11,281.90",464.94K
"Aug 27, 2020","11,327.40","11,462.30","11,580.30","11,135.30",560.59K
"Aug 26, 2020","11,462.30","11,324.90","11,533.60","11,254.60",513.06K
"Aug 25, 2020","11,324.80","11,752.90","11,766.90","11,131.00",594.07K
"Aug 24, 2020","11,753.50","11,641.60","11,824.60","11,587.10",429.13K
"Aug 23, 2020","11,641.60","11,661.10","11,705.40","11,520.80",377.33K
"Aug 22, 2020","11,661.30","11,529.20","11,677.00","11,382.10",433.98K
"Aug 21, 2020","11,529.20","11,856.90","11,877.40","11,495.60",506.38K
"Aug 20, 2020","11,856.90","11,751.00","11,881.00","11,672.70",430.93K
"Aug 19, 2020","11,750.20","11,944.40","12,013.20","11,602.60",550.26K
"Aug 18, 2020","11,947.60","12,283.00","12,381.40","11,842.00",606.79K
"Aug 17, 2020","12,282.60","11,898.80","12,444.10","11,764.00",628.41K
"Aug 16, 2020","11,899.00","11,845.50","11,922.50","11,688.90",410.81K
"Aug 15, 2020","11,845.30","11,751.10","11,964.00","11,711.50",499.10K
"Aug 14, 2020","11,750.80","11,771.10","11,835.50","11,651.50",435.44K
"Aug 13, 2020","11,770.90","11,557.20","11,772.90","11,298.40",545.67K
"Aug 12, 2020","11,557.20","11,390.40","11,605.40","11,190.60",549.59K
"Aug 11, 2020","11,390.40","11,889.20","11,931.80","11,146.70",615.90K
